cause,effect,lag,pcmci_pvalue,pcmci_val,pcmci_supported,survived_timeshift,survived_phaserand,regime_robust,stability_score,n_appearances,n_runs,granger_pvalue,granger_supported,accepted,strongly_accepted
price,temperature,3,0.315617,-0.012446,False,True,False,False,1.0,10.0,10.0,0.0,True,False,False
wind_generation,temperature,2,0.289887,0.013122,False,False,True,False,0.0,,,0.0,True,False,False
solar_generation,temperature,1,0.149994,-0.017848,False,False,False,False,0.0,,,0.0,True,True,False
temperature,wind_speed,3,0.271391,-0.013636,False,True,False,False,0.8,8.0,10.0,0.0,True,False,False
price,wind_speed,6,0.957805,-0.000656,False,True,False,False,1.0,10.0,10.0,0.0,True,False,False
wind_generation,wind_speed,0,,,False,False,False,False,0.7,7.0,10.0,0.0,True,True,True
price,solar_radiation,6,0.083492,0.021458,False,True,False,True,1.0,10.0,10.0,0.0,True,False,False
solar_generation,solar_radiation,1,0.00728,0.033321,True,False,True,True,0.9,9.0,10.0,0.0,True,False,False
temperature,price,3,0.070428,-0.022424,False,True,False,False,0.9,9.0,10.0,0.0,True,False,False
solar_radiation,price,10,0.054571,-0.023824,False,False,False,False,0.0,,,0.0,True,True,False
load,price,6,0.798452,0.003165,False,False,True,True,0.2,2.0,10.0,0.0,True,False,False
solar_generation,price,0,,,False,False,True,True,0.0,,,0.0,True,False,False
temperature,load,4,0.803096,0.003091,False,False,False,True,0.9,9.0,10.0,0.0,True,True,True
solar_radiation,load,5,0.092006,0.020884,False,False,True,False,0.1,1.0,10.0,0.0,True,False,False
wind_speed,wind_generation,0,,,False,False,False,False,0.9,9.0,10.0,0.0,True,True,True
price,wind_generation,6,0.839611,-0.002509,False,True,False,True,1.0,10.0,10.0,0.0,True,False,False
price,solar_generation,6,0.408848,-0.01024,False,True,False,True,1.0,10.0,10.0,0.021056,True,False,False
