cause,effect,lag,cause_idx,effect_idx
temperature,temperature,6,0,0
price,temperature,3,3,0
wind_generation,temperature,2,5,0
solar_generation,temperature,1,6,0
temperature,wind_speed,3,0,1
wind_speed,wind_speed,1,1,1
price,wind_speed,6,3,1
wind_generation,wind_speed,0,5,1
solar_radiation,solar_radiation,6,2,2
price,solar_radiation,6,3,2
solar_generation,solar_radiation,1,6,2
temperature,price,3,0,3
solar_radiation,price,10,2,3
price,price,4,3,3
load,price,6,4,3
solar_generation,price,0,6,3
temperature,load,4,0,4
solar_radiation,load,5,2,4
load,load,6,4,4
wind_speed,wind_generation,0,1,5
price,wind_generation,6,3,5
wind_generation,wind_generation,1,5,5
price,solar_generation,6,3,6
solar_generation,solar_generation,6,6,6
