cause,effect,lag,cause_idx,effect_idx
temperature,temperature,6,0,0
solar_generation,temperature,1,6,0
temperature,wind_speed,15,0,1
wind_speed,wind_speed,6,1,1
price,wind_speed,4,3,1
wind_generation,wind_speed,30,5,1
solar_radiation,solar_radiation,6,2,2
solar_generation,solar_radiation,1,6,2
price,price,4,3,3
price,load,3,3,4
solar_generation,load,2,6,4
wind_speed,wind_generation,0,1,5
solar_radiation,wind_generation,6,2,5
price,wind_generation,6,3,5
wind_generation,wind_generation,1,5,5
solar_generation,wind_generation,3,6,5
solar_generation,solar_generation,6,6,6
