cause,effect,lag,cause_idx,effect_idx
temperature,temperature,1,0,0
solar_radiation,temperature,10,2,0
price,temperature,9,3,0
temperature,wind_speed,24,0,1
wind_speed,wind_speed,1,1,1
price,wind_speed,6,3,1
wind_generation,wind_speed,0,5,1
temperature,solar_radiation,4,0,2
wind_speed,solar_radiation,12,1,2
solar_radiation,solar_radiation,6,2,2
price,solar_radiation,21,3,2
solar_generation,solar_radiation,0,6,2
price,price,26,3,3
load,price,9,4,3
wind_generation,price,0,5,3
temperature,load,3,0,4
load,load,1,4,4
wind_speed,wind_generation,0,1,5
price,wind_generation,6,3,5
wind_generation,wind_generation,1,5,5
solar_radiation,solar_generation,2,2,6
solar_generation,solar_generation,28,6,6
