cause,effect,lag
wind_speed,temperature,20
load,temperature,20
wind_generation,temperature,20
load,wind_speed,16
wind_generation,solar_radiation,1
solar_generation,solar_radiation,10
load,price,9
wind_generation,price,20
solar_generation,price,10
wind_speed,load,19
solar_radiation,load,7
price,load,19
solar_generation,load,7
temperature,wind_generation,19
solar_radiation,wind_generation,19
load,wind_generation,19
solar_generation,wind_generation,19
wind_speed,solar_generation,15
solar_radiation,solar_generation,15
load,solar_generation,15
