cause,effect,best_lag,granger_pvalue,granger_supported
price,temperature,2,0.0,True
wind_generation,temperature,3,0.0,True
solar_generation,temperature,2,0.0,True
temperature,wind_speed,12,0.0,True
price,wind_speed,5,0.0,True
wind_generation,wind_speed,1,0.0,True
price,solar_radiation,5,0.0,True
solar_generation,solar_radiation,21,0.0,True
temperature,price,4,0.0,True
solar_radiation,price,3,0.0,True
load,price,32,0.0,True
solar_generation,price,3,0.0,True
temperature,load,5,0.0,True
solar_radiation,load,5,0.0,True
wind_speed,wind_generation,1,0.0,True
price,wind_generation,3,0.0,True
price,solar_generation,5,0.021056,True
