cause,effect,lag,pcmci_pvalue,pcmci_val
solar_radiation,temperature,18,0.0,-0.06903
temperature,wind_speed,2,0.0,-0.078519
temperature,wind_speed,4,0.028775,-0.027173
solar_radiation,wind_speed,1,0.005008,-0.034847
solar_radiation,wind_speed,5,0.0,0.062581
wind_generation,wind_speed,3,0.0,-0.112498
solar_generation,wind_speed,1,7e-05,-0.049341
temperature,solar_radiation,1,0.0,-0.142901
temperature,solar_radiation,10,0.009312,-0.032321
temperature,solar_radiation,25,0.0,-0.064887
temperature,solar_radiation,26,0.0,0.079419
temperature,solar_radiation,31,2e-06,0.058947
price,solar_radiation,1,0.0,0.06476
solar_generation,solar_radiation,1,0.00728,0.033321
solar_generation,solar_radiation,2,0.0,-0.09123
solar_generation,solar_radiation,5,0.0,0.182262
solar_radiation,price,5,0.000107,-0.048104
solar_radiation,price,32,1.2e-05,-0.054438
solar_radiation,load,14,0.044808,-0.024917
price,load,5,0.0,0.074892
price,load,7,0.01681,-0.029702
solar_generation,load,32,0.046164,0.024763
temperature,wind_generation,18,9e-06,-0.055283
wind_speed,wind_generation,1,0.0,0.361409
price,wind_generation,1,0.0,-0.204145
temperature,solar_generation,1,0.0,0.33771
temperature,solar_generation,2,0.0,-0.337469
temperature,solar_generation,6,0.0,0.147146
temperature,solar_generation,8,0.0,0.12094
temperature,solar_generation,10,0.0,-0.07676
temperature,solar_generation,31,0.0,-0.116385
wind_speed,solar_generation,2,0.0,-0.071586
wind_speed,solar_generation,4,0.0,-0.073949
wind_speed,solar_generation,21,0.007428,0.03324
wind_speed,solar_generation,32,0.003837,-0.035899
solar_radiation,solar_generation,1,0.0,0.680732
solar_radiation,solar_generation,8,0.0,-0.178986
solar_radiation,solar_generation,31,0.0,-0.195812
wind_generation,solar_generation,4,0.005663,-0.034342
