cause,effect,stability_score,n_appearances,n_runs,in_real_edges,stable
price,load,1.0,10,10,False,True
price,solar_generation,1.0,10,10,True,True
price,solar_radiation,1.0,10,10,True,True
price,temperature,1.0,10,10,True,True
price,wind_generation,1.0,10,10,True,True
price,wind_speed,1.0,10,10,True,True
solar_radiation,solar_generation,1.0,10,10,False,True
wind_speed,wind_generation,0.9,9,10,True,True
solar_generation,solar_radiation,0.9,9,10,True,True
temperature,load,0.9,9,10,True,True
temperature,price,0.9,9,10,True,True
temperature,wind_speed,0.8,8,10,True,True
temperature,wind_generation,0.8,8,10,False,True
wind_generation,wind_speed,0.7,7,10,True,True
wind_speed,price,0.6,6,10,False,True
wind_generation,price,0.4,4,10,False,False
load,price,0.2,2,10,True,False
wind_generation,load,0.1,1,10,False,False
load,temperature,0.1,1,10,False,False
solar_generation,wind_generation,0.1,1,10,False,False
solar_generation,load,0.1,1,10,False,False
solar_radiation,load,0.1,1,10,True,False
