cause,effect,in_winter,in_summer,in_real_edges,regime_robust
load,price,True,True,True,True
load,solar_generation,True,False,False,False
load,solar_radiation,True,False,False,False
load,temperature,True,True,False,True
price,load,False,True,False,False
price,solar_generation,True,True,True,True
price,solar_radiation,True,True,True,True
price,temperature,False,True,True,False
price,wind_generation,True,True,True,True
price,wind_speed,False,True,True,False
solar_generation,price,True,True,True,True
solar_generation,solar_radiation,True,True,True,True
solar_generation,wind_generation,True,True,False,True
solar_radiation,load,True,False,True,False
solar_radiation,price,True,False,True,False
solar_radiation,solar_generation,False,True,False,False
solar_radiation,wind_generation,True,False,False,False
temperature,load,True,True,True,True
temperature,solar_generation,True,False,False,False
temperature,solar_radiation,False,True,False,False
temperature,wind_speed,False,True,True,False
wind_generation,load,True,True,False,True
wind_generation,solar_generation,True,False,False,False
wind_generation,wind_speed,True,False,True,False
wind_speed,load,True,True,False,True
wind_speed,solar_generation,True,False,False,False
wind_speed,solar_radiation,True,False,False,False
wind_speed,wind_generation,True,False,True,False
