structure,replicate,num_vars,num_gt_edges,num_predicted_edges,num_gt_self,num_gt_nonself,num_pred_self,num_pred_nonself,precision,recall,f1,precision_ext,recall_ext,f1_ext,shd,pod
diamond,0,4,8,6,4,4,4,2,0.6667,0.5,0.5714,0.6667,0.5,0.5714,6,0.25
diamond,1,4,8,4,4,4,4,0,1.0,0.5,0.6667,1.0,0.5,0.6667,4,1.0
diamond,2,4,8,4,4,4,4,0,1.0,0.5,0.6667,1.0,0.5,0.6667,4,0.25
diamond,3,4,8,9,4,4,3,6,0.6667,0.75,0.7059,0.6667,0.75,0.7059,4,0.6667
diamond,4,4,8,5,4,4,4,1,1.0,0.625,0.7692,1.0,0.625,0.7692,3,0.6
diamond,5,4,8,4,4,4,4,0,1.0,0.5,0.6667,1.0,0.5,0.6667,4,0.75
diamond,6,4,8,4,4,4,4,0,1.0,0.5,0.6667,1.0,0.5,0.6667,4,0.25
diamond,7,4,8,4,4,4,4,0,1.0,0.5,0.6667,1.0,0.5,0.6667,4,0.75
diamond,8,4,8,4,4,4,4,0,1.0,0.5,0.6667,1.0,0.5,0.6667,4,0.75
diamond,9,4,8,4,4,4,4,0,1.0,0.5,0.6667,1.0,0.5,0.6667,4,0.75
fork,0,3,5,3,3,2,3,0,1.0,0.6,0.75,1.0,0.6,0.75,2,0.3333
fork,1,3,5,3,3,2,3,0,1.0,0.6,0.75,1.0,0.6,0.75,2,1.0
fork,2,3,5,3,3,2,3,0,1.0,0.6,0.75,1.0,0.6,0.75,2,0.0
fork,3,3,5,4,3,2,3,1,0.75,0.6,0.6667,0.75,0.6,0.6667,3,0.6667
fork,4,3,5,5,3,2,3,2,0.8,0.8,0.8,0.8,0.8,0.8,2,0.25
fork,5,3,5,3,3,2,3,0,1.0,0.6,0.75,1.0,0.6,0.75,2,0.6667
fork,6,3,5,5,3,2,3,2,0.8,0.8,0.8,0.8,0.8,0.8,2,0.5
fork,7,3,5,4,3,2,2,2,0.5,0.4,0.4444,0.5,0.4,0.4444,4,0.0
fork,8,3,5,4,3,2,2,2,0.75,0.6,0.6667,0.75,0.6,0.6667,2,0.0
fork,9,3,5,4,3,2,3,1,0.75,0.6,0.6667,0.75,0.6,0.6667,3,0.3333
mediator,0,3,6,4,3,3,1,3,0.75,0.5,0.6,0.75,0.5,0.6,2,0.3333
mediator,1,3,6,3,3,3,3,0,1.0,0.5,0.6667,1.0,0.5,0.6667,3,0.0
mediator,2,3,6,4,3,3,3,1,0.75,0.5,0.6,0.75,0.5,0.6,4,0.6667
mediator,3,3,6,4,3,3,0,4,0.5,0.3333,0.4,0.5,0.3333,0.4,3,0.5
mediator,4,3,6,3,3,3,3,0,1.0,0.5,0.6667,1.0,0.5,0.6667,3,0.6667
mediator,5,3,6,3,3,3,3,0,1.0,0.5,0.6667,1.0,0.5,0.6667,3,0.6667
mediator,6,3,6,3,3,3,3,0,1.0,0.5,0.6667,1.0,0.5,0.6667,3,0.6667
mediator,7,3,6,4,3,3,3,1,1.0,0.6667,0.8,1.0,0.6667,0.8,2,0.25
mediator,8,3,6,3,3,3,3,0,1.0,0.5,0.6667,1.0,0.5,0.6667,3,0.6667
mediator,9,3,6,3,3,3,3,0,1.0,0.5,0.6667,1.0,0.5,0.6667,3,1.0
v,0,3,5,3,3,2,3,0,1.0,0.6,0.75,1.0,0.6,0.75,2,1.0
v,1,3,5,4,3,2,3,1,0.75,0.6,0.6667,0.75,0.6,0.6667,3,0.6667
v,2,3,5,5,3,2,3,2,0.8,0.8,0.8,0.8,0.8,0.8,2,0.5
v,3,3,5,4,3,2,2,2,0.75,0.6,0.6667,0.75,0.6,0.6667,2,0.3333
v,4,3,5,3,3,2,3,0,1.0,0.6,0.75,1.0,0.6,0.75,2,0.3333
v,5,3,5,4,3,2,3,1,0.75,0.6,0.6667,0.75,0.6,0.6667,3,0.0
v,6,3,5,4,3,2,3,1,0.75,0.6,0.6667,0.75,0.6,0.6667,3,0.3333
v,7,3,5,4,3,2,3,1,0.75,0.6,0.6667,0.75,0.6,0.6667,3,0.0
v,8,3,5,4,3,2,3,1,0.75,0.6,0.6667,0.75,0.6,0.6667,3,0.3333
v,9,3,5,4,3,2,3,1,1.0,0.8,0.8889,1.0,0.8,0.8889,1,1.0
